	Distance along stream										
Steam	0	10	20	30	40	50	60	70	80	90	100
1	7	9	16	7	9	12	16	18	27	33	44
2	7	9	9	12	21	24	30	56	56	63	69
3	7	8	10	12	16	25	32	33	46	50	64
4	9	17	18	24	30	36	46	70	90	108	134
5	9	8	16	23	33	52	79	111	128	166	266
6	13	7	21	19	33	37	51	58	80	101	134
7	6	11	16	16	29	26	41	42	53	71	81
8	18	17	26	27	27	36	45	68	76	86	127
9	11	17	25	13	22	37	44	48	52	50	66
10	11	13	20	17	26	15	22	26	28	38	28
11	18	22	23	35	41	39	46	61	67	93	124
12	15	22	25	39	54	73	79	103	145	181	249
13	16	29	36	46	75	86	125	183	250	389	593
14	20	26	30	26	27	57	46	47	79	78	89
15	26	23	27	43	49	48	83	97	127	166	201																																		
16	21	21	24	18	14	18	16	14	14	9	15																																		
17	29	32	52	45	81	84	124	171	239	309	430																																		
18	24	29	22	21	37	36	35	38	56	41	46																																		
19	42	33	56	72	109	135	162	253	362	524	737																																		
20	22	36	32	41	46	75	88	100	130	131	205																																		

Variance co-variance matrix																																													
	Mu-F	Mu-L	Sigma-Mu	alpha-bar	Sigma-Alpha	Mu-1	Mu-2	Mu-3	Mu-4	Mu-5	Mu-6	Mu-7	Mu-8	Mu-9	Mu-10	Mu-11	Mu-12	Mu-13	Mu-14	Mu-15	Mu-16	Mu-17	Mu-18	Mu-19	Mu-20	Alpha-1	Alpha-2	Alpha-3	Alpha-4	Alpha-5	Alpha-6	Alpha-7	Alpha-8	Alpha-9	Alpha-10	Alpha-11	Alpha-12	Alpha-13	Alpha-14	Alpha-15	Alpha-16	Alpha-17	Alpha-18	Alpha-19	Alpha-20
3.55E-05	-0.000255859	2.05E-06	7.97E-08	-1.20E-08	2.17E-05	1.30E-05	1.87E-06	-4.91E-06	-1.81E-05	-3.12E-05	-4.84E-05	-5.51E-05	-7.25E-05	-9.15E-05	-9.70E-05	-0.000107961	-0.000118555	-0.000141587	-0.000472934	-0.000179987	-0.000172847	-0.000205367	-0.00019322	-0.000229171	-4.56E-08	-2.21E-08	-2.54E-09	6.43E-09	2.23E-08	3.54E-08	5.36E-08	5.17E-08	6.64E-08	8.37E-08	7.50E-08	7.65E-08	7.89E-08	9.39E-08	4.81E-07	1.27E-07	9.18E-08	1.19E-07	9.14E-08	1.13E-07	
6.68E-05	-0.000354514	1.52E-07	1.76E-07	-3.21E-07	3.89E-05	2.85E-05	1.44E-05	1.79E-06	-1.09E-05	-3.20E-05	-5.51E-05	-6.91E-05	-9.40E-05	-0.000121887	-0.000129131	-0.000142279	-0.000153537	-0.000193602	-0.000207747	-0.000643714	-0.000237086	-0.000286049	-0.000267836	-0.000316752	-7.99E-08	-4.95E-08	-2.26E-08	-3.05E-09	1.21E-08	3.57E-08	6.19E-08	6.49E-08	8.84E-08	1.21E-07	1.00E-07	1.00E-07	1.01E-07	1.30E-07	1.27E-07	2.22E-06	1.25E-07	1.72E-07	1.26E-07	1.57E-07	
5.99E-05	-0.000261848	-4.37E-06	6.36E-08	-5.74E-09	3.60E-05	2.42E-05	1.92E-05	5.21E-07	-3.78E-06	-1.78E-05	-2.88E-05	-4.80E-05	-6.25E-05	-7.82E-05	-9.20E-05	-0.00010214	-0.00010806	-0.000139738	-0.00015007	-0.000179122	-0.000446781	-0.000207203	-0.000203776	-0.000231629	-7.64E-08	-4.15E-08	-3.10E-08	-4.76E-10	4.73E-09	2.02E-08	3.19E-08	4.50E-08	5.72E-08	7.14E-08	7.10E-08	7.24E-08	7.20E-08	9.26E-08	9.18E-08	1.25E-07	3.36E-07	1.19E-07	9.64E-08	1.15E-07	
8.77E-05	-0.000339877	2.22E-07	1.01E-07	-8.26E-08	5.35E-05	4.05E-05	2.86E-05	1.36E-05	-1.02E-06	-1.86E-05	-3.91E-05	-5.45E-05	-7.72E-05	-0.000102246	-0.000113903	-0.000129178	-0.000142575	-0.000177837	-0.000193991	-0.000232759	-0.000225191	-0.000589812	-0.000257153	-0.000303355	-1.13E-07	-6.97E-08	-4.62E-08	-1.72E-08	1.04E-09	2.10E-08	4.36E-08	5.12E-08	7.12E-08	9.56E-08	8.82E-08	9.14E-08	9.48E-08	1.18E-07	1.19E-07	1.72E-07	1.19E-07	9.34E-07	1.21E-07	1.50E-07	
7.83E-05	-0.000268867	-8.17E-06	5.41E-08	-5.59E-09	4.70E-05	3.31E-05	3.17E-05	5.62E-06	6.34E-06	-8.30E-06	-1.59E-05	-4.28E-05	-5.60E-05	-7.00E-05	-8.89E-05	-9.89E-05	-0.000102388	-0.000139629	-0.000149365	-0.000180454	-0.000181428	-0.000210774	-0.000448145	-0.000236185	-1.00E-07	-5.69E-08	-5.14E-08	-6.96E-09	-7.70E-09	9.53E-09	1.77E-08	4.02E-08	5.12E-08	6.39E-08	6.87E-08	7.01E-08	6.82E-08	9.25E-08	9.14E-08	1.26E-07	9.64E-08	1.21E-07	2.73E-07	1.17E-07	
0.000102149	-0.000330579	2.55E-06	7.00E-08	-2.54E-08	6.35E-05	5.04E-05	3.75E-05	2.51E-05	6.27E-06	-9.44E-06	-3.13E-05	-4.35E-05	-6.66E-05	-9.23E-05	-0.000103268	-0.00012015	-0.000136609	-0.000167496	-0.000185459	-0.000221721	-0.000215855	-0.000259925	-0.000247178	-0.000566315	-1.35E-07	-8.67E-08	-6.08E-08	-3.16E-08	-7.68E-09	1.08E-08	3.47E-08	4.08E-08	6.11E-08	8.47E-08	7.98E-08	8.51E-08	9.09E-08	1.11E-07	1.13E-07	1.57E-07	1.15E-07	1.50E-07	1.17E-07	4.76E-07	
																																													
Parameters																																													
	Mu-F	Mu-L	Sigma-Mu	alpha-bar	Sigma-Alpha	Mu-1	Mu-2	Mu-3	Mu-4	Mu-5	Mu-6	Mu-7	Mu-8	Mu-9	Mu-10	Mu-11	Mu-12	Mu-13	Mu-14	Mu-15	Mu-16	Mu-17	Mu-18	Mu-19	Mu-20	Alpha-1	Alpha-2	Alpha-3	Alpha-4	Alpha-5	Alpha-6	Alpha-7	Alpha-8	Alpha-9	Alpha-10	Alpha-11	Alpha-12	Alpha-13	Alpha-14	Alpha-15	Alpha-16	Alpha-17	Alpha-18	Alpha-19	Alpha-20
	5.654872	25.25571	0.7835176	0.02111023	0.009290325	5.765967	6.992393	7.488887	9.447959	9.553208	10.7072	11.26802	13.12991	13.89002	14.63428	16.11353	16.9805	17.5332	19.16156	19.9819	21.11099	22.39882	23.15273	24.74836	25.06093	0.01912161	0.02468439	0.02169968	0.02718047	0.032951	0.02508564	0.01978476	0.02200878	0.01599061	0.008209504	0.01951212	0.02662664	0.0344474	0.01572393	0.02302249	-0.004793331	0.02931547	0.007771012	0.03375459	0.02010793
